LogIndex,PCDate,PCTime,MEActFOCons,DGActFOCons,BlrActFOCons,MEActMGOCons,DGActMGOCons,BlrActMGOCons,MEAccFOCons,DGAccFOCons,BlrAccFOCons,DGAccMGOCons,BlrAccMGOCons,MEFOInTemp,DGFOInTemp,BlrFOInTemp,DGMGOInTemp,BlrMGOInTemp,FCMFODensity,DGFODensity,BlrFODensity,DGMGODensity,BlrMGODensity,DG1Power,DG2Power,DG3Power,MESFOC_kw,MESFOC_nmile,MERpm,METorque,MEShaftPow,ShipSpdToWater,ShipSpd,ShipHeel,ShipTrim,ShipDraft,ShipSlip,WindSpd,WindDir,Latitude,Longitude,ShipDraughtBow,ShipDraughtAstern,ShipDraughtMidLft,ShipDraughtMidRgt
44,2020/3/1,0:07:43,293.5495605,374.9189453,0,0,0,0,1787812.75,395528.25,66601.75781,8230.599609,1858.788086,76.56093597,90.34428406,82.4203125,512.4876099,25.19375,890.5565796,514.8432617,824.0893555,30.89533424,839.0966187,1028,803,0,226.1552887,30.57807922,47,268,1298,9.6,9.51,0.32,2.19,8.155,-1.065702558,24,24,28.41 N,123.25 E,7.06,9.25,7.69,7.37
45,2020/3/1,0:07:55,295.5802002,375.4604492,0,0,0,0,1787813.266,395529.9844,66601.75781,8230.599609,1858.788086,76.55312347,90.38135529,82.4125,512.5054932,25.1859375,890.5220337,514.7828369,824.5595093,30.90260696,839.135498,1002,781,0,219.7622375,30.78960419,47,274,1345,9.6,9.487,0.4,2.2,8.14,-1.065702558,24.7,27,28.41 N,123.25 E,7.04,9.24,7.67,7.27
46,2020/3/1,0:08:05,293.3853455,376.9567566,0,0,0,0,1787813.844,395531.4063,66601.75781,8230.599609,1858.788086,76.56874847,90.35580444,82.4125,512.5203857,25.178125,890.4693604,514.8164673,824.4649658,30.91295815,839.1503296,1027,819,0,222.2616272,30.56097412,46,270,1320,9.6,9.487,-0.03,2.46,8.06,-3.262783051,24.9,26,28.41 N,123.25 E,6.83,9.29,7.76,7.79
47,2020/3/1,0:08:15,295.3283386,379.407135,0,0,0,0,1787814.406,395532.8438,66601.75781,8230.599609,1858.788086,76.58437347,90.34851074,82.396875,512.4508057,25.1859375,890.5410767,514.8243408,824.6140137,30.90831947,839.0740356,1032,810,0,222.0513763,30.76336861,46,271,1330,9.6,9.479,0.14,2.25,8.125,-3.262783051,24.1,26,28.41 N,123.25 E,7,9.25,7.67,7.53
48,2020/3/1,0:08:27,292.6021423,382.1474915,0,0,0,0,1787814.563,395534.9375,66601.75781,8230.599609,1858.788086,76.56874847,90.34719086,82.3890625,512.40271,25.1859375,890.4813232,514.8256226,824.4879761,30.92714882,839.0756226,1054,835,0,220.9985962,30.47938919,47,272,1324,9.6,9.48,0.09,2.38,8.08,-1.065702558,23.1,26,28.41 N,123.25 E,6.89,9.27,7.66,7.57
49,2020/3/1,0:08:37,290.2063599,385.3959351,0,0,0,0,1787815,395536,66601.75781,8230.599609,1858.788086,76.56093597,90.32826996,82.396875,512.5053101,25.1859375,890.5299683,514.8669434,824.6615601,30.92940331,839.2189941,1033,820,0,220.3541107,30.22982979,46,269,1317,9.6,9.483,0.23,1.99,8.155,-3.262783051,24.7,27,28.42 N,123.25 E,7.16,9.15,7.73,7.5
50,2020/3/1,0:08:47,295.8087769,379.4096069,0,0,0,0,1787815.516,395537.4844,66601.75781,8230.599609,1858.788086,76.55312347,90.38051605,82.3734375,512.4859009,25.1859375,890.5443726,514.7850952,824.7109985,30.91492462,839.0725098,1029,820,0,223.0835419,31.13776588,46,271,1326,9.5,9.483,0.01,2.23,8.025,-2.187129021,24.3,27,28.42 N,123.25 E,6.91,9.14,7.68,7.67
51,2020/3/1,0:08:59,293.6723328,379.398468,0,0,0,0,1787816.078,395538.9219,66601.75781,8230.599609,1858.788086,76.53749847,90.30603027,82.3734375,512.5263672,25.1859375,890.5429077,514.9055176,824.321106,30.9035511,839.3321533,1035,825,0,220.1441803,30.91287804,46,272,1334,9.5,9.483,0.28,2.14,8.06,-2.187129021,23.5,23,28.42 N,123.25 E,6.99,9.13,7.64,7.36
52,2020/3/1,0:09:09,295.3535461,378.4031067,0,0,0,0,1787816.234,395541.0156,66601.75781,8230.599609,1858.788086,76.56093597,90.33031464,82.38125,512.4926147,25.178125,890.4649048,514.8701782,824.1723022,30.89902115,839.2581177,1037,825,0,224.432785,30.76599503,46,269,1316,9.6,9.475,-0.27,2.07,8.105,-3.262783051,23.3,26,28.42 N,123.25 E,7.07,9.14,7.61,7.88
53,2020/3/1,0:09:19,298.4516602,377.7553101,0,0,0,0,1787816.922,395542.0781,66601.75781,8230.599609,1858.788086,76.56874847,90.33189392,82.365625,512.4661865,25.1859375,890.3885498,514.8729858,824.1895142,30.89368629,838.9504395,1030,806,0,224.3997498,31.0887146,47,271,1330,9.6,9.475,0.26,2.16,8.06,-1.065702558,23.5,24,28.42 N,123.25 E,6.98,9.14,7.65,7.39
54,2020/3/1,0:09:29,291.4484253,382.3743286,0,0,0,0,1787817.5,395543.5,66601.75781,8230.599609,1858.788086,76.58437347,90.29059601,82.365625,512.472168,25.178125,890.3527832,514.9446411,824.2019043,30.90663338,839.0822754,1043,827,0,217.01297,30.67878151,46,272,1343,9.5,9.478,-0.04,2.07,8.115,-2.187129021,24,24,28.42 N,123.25 E,7.08,9.15,7.57,7.61
55,2020/3/1,0:09:41,289.9412231,385.7984619,0,0,0,0,1787817.953,395545.2969,66601.75781,8230.599609,1858.788086,76.57656097,90.38645172,82.3578125,512.5134277,25.1859375,890.3947754,514.7931519,825.0601807,30.86769867,838.6156616,1036,826,0,219.8189697,30.52012825,47,269,1319,9.5,9.468,0.28,2.42,7.99,-0.01293477,24.6,28,28.42 N,123.25 E,6.78,9.2,7.72,7.44
56,2020/3/1,0:09:51,288.4617004,379.157135,0,0,0,0,1787818.156,395547.0938,66601.75781,8230.599609,1858.788086,76.55312347,90.34286499,82.35,512.520752,25.178125,890.4686279,514.8624878,824.3430176,30.90633392,838.9879761,1053,834,0,228.937851,30.36438942,47,259,1260,9.5,9.483,0.05,2.5,7.97,-0.01293477,23.8,27,28.42 N,123.25 E,6.72,9.22,7.71,7.66
57,2020/3/1,0:10:01,259.1295166,388.9714355,0,0,0,0,1787818.594,395548.1563,66601.75781,8230.599609,1858.788086,76.52187347,90.37983704,82.3578125,512.5751343,25.1859375,890.1887207,514.8104858,824.9840088,30.86751556,838.9736328,1044,830,0,228.9129944,27.27679062,46,230,1132,9.5,9.483,-0.06,2.29,7.945,-2.187129021,23.9,30,28.42 N,123.25 E,6.8,9.09,7.61,7.67
58,2020/3/1,0:10:13,254.1799316,386.8582153,0,0,0,0,1787819.359,395549.8906,66601.75781,8230.599609,1858.788086,76.51406097,90.49451447,82.3421875,512.4765625,25.1703125,890.3051758,514.6397705,825.1364746,30.88861275,839.0146484,1055,834,0,236.8871613,27.04041862,46,220,1073,9.4,9.41,-0.36,2.18,8.08,-1.111474991,23.9,33,28.42 N,123.25 E,6.99,9.17,7.53,7.89
59,2020/3/1,0:10:23,259.9594116,382.6664429,0,0,0,0,1787819.375,395551.375,66601.75781,8230.599609,1858.788086,76.46718597,90.39507294,82.3265625,512.5533447,25.1859375,890.3956909,514.793396,824.8713379,30.85156059,839.0163574,1055,828,0,236.1120911,27.65525627,46,228,1101,9.4,9.404,-0.08,2.23,8.085,-1.111474991,23.5,31,28.42 N,123.25 E,6.97,9.2,7.54,7.62
